subject,condition,explore,slope,score,explore50
A2A8HRBDYBV6XJ,Down,0.125,-0.02988,0.588542,0.1591
A2LGGRO9TDWH93,Down,0.238579,0.06062,0.670051,0.6000
A2M6GFFEYJ5XP,Down,0.297436,0.69791,0.687179,0.1429
A2OLVF6P86QSQJ,Down,0.121212,0.09478,0.641414,0.1875
A2R794P3E8X0MK,Down,0.30102,0.66427,0.668367,0.0250
A2V2I8HXL9EHQ1,Down,0.171717,0.61991,0.676768,0.1739
A324FQ64NCN2YS,Down,0.213198,0.87397,0.619289,0.1489
A34SUZWGLXIWM8,Down,0.186869,0.50853,0.722222,0.2045
A382OV019QLW6H,Down,0.238579,3.48649,0.659898,0.1250
A38IXDI5371P7Z,Down,0.368687,-0.1277,0.570707,0.1795
A3V3108A3ODROZ,Down,0.145161,0.41654,0.645161,0.1333
A4WSGXF5IARBH,Down,0.237113,0.23408,0.706186,0.1458
A77K8W55MJEKX,Down,0.142857,0.20947,0.673469,0.0952
A7ULVYZ4JGW8L,Down,0.148936,0.19332,0.75,0.4468
AJVXYTMIOKFE2,Down,0.212435,0.80987,0.668394,0.6818
ANZUE8VX5IMDO,Down,0.253807,0.39636,0.670051,0.2083
AUAN582MLI96N,Down,0.220513,0.23836,0.641026,0.1667
